title,description,repo_url,github_url,github_stars,language,published_date,source_url,source_name,owner
table-transformer,Table Transformer (TATR) is a deep learning model for extracting tables from unstructured documents (PDFs and images). This is also the official repository for the PubTables-1M dataset and GriTS evaluation metric.,https://github.com/microsoft/table-transformer,https://github.com/microsoft/table-transformer,2929,Python,2021-05-17T19:01:34+00:00Z,https://github.com/microsoft/table-transformer,GitHub,microsoft
DeepQA,"My tensorflow implementation of ""A neural conversational model"", a Deep learning based chatbot",https://github.com/Conchylicultor/DeepQA,https://github.com/Conchylicultor/DeepQA,2912,Python,2016-07-07T17:17:20+00:00Z,https://github.com/Conchylicultor/DeepQA,GitHub,Conchylicultor
thinc,"🔮 A refreshing functional take on deep learning, compatible with your favorite libraries",https://github.com/explosion/thinc,https://github.com/explosion/thinc,2890,Python,2014-10-16T16:34:59+00:00Z,https://github.com/explosion/thinc,GitHub,explosion
deepjazz,Deep learning driven jazz generation using Keras & Theano!,https://github.com/jisungk/deepjazz,https://github.com/jisungk/deepjazz,2888,Python,2016-04-02T01:00:05+00:00Z,https://github.com/jisungk/deepjazz,GitHub,jisungk
DeepLearningPython,neuralnetworksanddeeplearning.com integrated scripts for Python 3.5.2 and Theano with CUDA support,https://github.com/MichalDanielDobrzanski/DeepLearningPython,https://github.com/MichalDanielDobrzanski/DeepLearningPython,2834,Python,2016-07-29T18:09:27+00:00Z,https://github.com/MichalDanielDobrzanski/DeepLearningPython,GitHub,MichalDanielDobrzanski
SparrowRecSys,A Deep Learning Recommender System,https://github.com/wzhe06/SparrowRecSys,https://github.com/wzhe06/SparrowRecSys,2765,Python,2020-05-05T05:03:23+00:00Z,https://github.com/wzhe06/SparrowRecSys,GitHub,wzhe06
deepwalk,DeepWalk - Deep Learning for Graphs,https://github.com/phanein/deepwalk,https://github.com/phanein/deepwalk,2756,Python,2014-08-23T03:38:20+00:00Z,https://github.com/phanein/deepwalk,GitHub,phanein
maml,"Code for ""Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks""",https://github.com/cbfinn/maml,https://github.com/cbfinn/maml,2726,Python,2017-06-18T01:36:06+00:00Z,https://github.com/cbfinn/maml,GitHub,cbfinn
torch-points3d,Pytorch framework for doing deep learning on point clouds.,https://github.com/torch-points3d/torch-points3d,https://github.com/torch-points3d/torch-points3d,2704,Python,2019-12-06T11:33:34+00:00Z,https://github.com/torch-points3d/torch-points3d,GitHub,torch-points3d
interactive-deep-colorization,Deep learning software for colorizing black and white images with a few clicks.,https://github.com/junyanz/interactive-deep-colorization,https://github.com/junyanz/interactive-deep-colorization,2693,Python,2017-05-08T07:27:47+00:00Z,https://github.com/junyanz/interactive-deep-colorization,GitHub,junyanz
DQN-tensorflow,Tensorflow implementation of Human-Level Control through Deep Reinforcement Learning,https://github.com/devsisters/DQN-tensorflow,https://github.com/devsisters/DQN-tensorflow,2583,Python,2016-05-15T11:33:47+00:00Z,https://github.com/devsisters/DQN-tensorflow,GitHub,devsisters
Awesome-Deep-Learning-Papers-for-Search-Recommendation-Advertising,"Awesome Deep Learning papers for industrial Search, Recommendation and Advertisement. They focus on Embedding, Matching, Pre-Ranking, Ranking, Post Ranking, Relevance, LLM and RL. Please cite our paper ""Deep Learning to Rank in Industrial Search Engines, Recommender Systems, and Online Advertising - An Overview and New Perspectives"" (TOIS 2026).",https://github.com/guyulongcs/Awesome-Deep-Learning-Papers-for-Search-Recommendation-Advertising,https://github.com/guyulongcs/Awesome-Deep-Learning-Papers-for-Search-Recommendation-Advertising,2551,Python,2020-09-06T06:34:04+00:00Z,https://github.com/guyulongcs/Awesome-Deep-Learning-Papers-for-Search-Recommendation-Advertising,GitHub,guyulongcs
hivemind,Decentralized deep learning in PyTorch. Built to train models on thousands of volunteers across the world.,https://github.com/learning-at-home/hivemind,https://github.com/learning-at-home/hivemind,2495,Python,2020-02-27T13:50:19+00:00Z,https://github.com/learning-at-home/hivemind,GitHub,learning-at-home
Graphormer,Graphormer is a general-purpose deep learning backbone for molecular modeling.,https://github.com/microsoft/Graphormer,https://github.com/microsoft/Graphormer,2462,Python,2021-05-27T05:31:18+00:00Z,https://github.com/microsoft/Graphormer,GitHub,microsoft
Deep-Learning,:computer:深度学习实战：手写数字识别、Discuz验证码识别、垃圾分类、语义分割,https://github.com/Jack-Cherish/Deep-Learning,https://github.com/Jack-Cherish/Deep-Learning,2446,Python,2017-12-16T03:12:19+00:00Z,https://github.com/Jack-Cherish/Deep-Learning,GitHub,Jack-Cherish
luminoth,Deep Learning toolkit for Computer Vision.,https://github.com/tryolabs/luminoth,https://github.com/tryolabs/luminoth,2400,Python,2017-02-16T15:07:46+00:00Z,https://github.com/tryolabs/luminoth,GitHub,tryolabs
axlearn,An Extensible Deep Learning Library,https://github.com/apple/axlearn,https://github.com/apple/axlearn,2370,Python,2023-02-25T01:33:06+00:00Z,https://github.com/apple/axlearn,GitHub,apple
pointnet.pytorch,"pytorch implementation for ""PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation""  https://arxiv.org/abs/1612.00593",https://github.com/fxia22/pointnet.pytorch,https://github.com/fxia22/pointnet.pytorch,2353,Python,2017-04-14T23:05:17+00:00Z,https://github.com/fxia22/pointnet.pytorch,GitHub,fxia22
Deep3DFaceReconstruction,Accurate 3D Face Reconstruction with Weakly-Supervised Learning: From Single Image to Image Set (CVPRW 2019),https://github.com/microsoft/Deep3DFaceReconstruction,https://github.com/microsoft/Deep3DFaceReconstruction,2348,Python,2019-03-20T13:50:27+00:00Z,https://github.com/microsoft/Deep3DFaceReconstruction,GitHub,microsoft
Awesome-AutoDL,Automated Deep Learning: Neural Architecture Search Is Not the End (a curated list of AutoDL resources and an in-depth analysis),https://github.com/D-X-Y/Awesome-AutoDL,https://github.com/D-X-Y/Awesome-AutoDL,2340,Python,2018-10-15T08:16:21+00:00Z,https://github.com/D-X-Y/Awesome-AutoDL,GitHub,D-X-Y
labml,🔎 Monitor deep learning model training and hardware usage from your mobile phone 📱,https://github.com/labmlai/labml,https://github.com/labmlai/labml,2326,Python,2018-11-16T09:34:48+00:00Z,https://github.com/labmlai/labml,GitHub,labmlai
bulbea,:boar: :bear: Deep Learning based Python Library for Stock Market Prediction and Modelling,https://github.com/achillesrasquinha/bulbea,https://github.com/achillesrasquinha/bulbea,2314,Python,2017-03-09T06:11:06+00:00Z,https://github.com/achillesrasquinha/bulbea,GitHub,achillesrasquinha
